New log started
Initializing OpenCL environement...
1 - Motion: 1329 749
1 - Motion: 1334 751
1 - Motion: 1339 753
1 - Motion: 1344 755
1 - Motion: 1349 757
1 - Motion: 1354 757
1 - Motion: 1359 759
1 - Motion: 1364 761
1 - Motion: 1369 763
1 - Motion: 1374 765
1 - Motion: 1379 767
1 - Motion: 1384 769
1 - Motion: 1389 771
1 - Motion: 1394 773
1 - Motion: 1399 775
1 - Motion: 1404 777
1 - Motion: 1409 779
1 - Motion: 1414 781
1 - Motion: 1419 783
1 - Motion: 1424 785
1 - Motion: 1429 787
1 - Motion: 1434 790
1 - Motion: 1439 792
1 - Motion: 1444 794
1 - Motion: 1449 796
1 - Motion: 1454 799
1 - Motion: 1459 801
1 - Motion: 1464 804
1 - Motion: 1469 806
1 - Motion: 1474 809
1 - Motion: 1479 812
1 - Motion: 1484 814
1 - Motion: 1489 817
1 - Motion: 1494 820
1 - Motion: 1499 823
1 - Motion: 1504 826
1 - Motion: 1509 828
1 - Motion: 1514 831
1 - Motion: 1519 834
1 - Motion: 1524 837
1 - Motion: 1529 840
1 - Motion: 1534 842
1 - Motion: 1539 845
1 - Motion: 1544 848
1 - Motion: 1549 851
1 - Motion: 1554 854
1 - Motion: 1559 857
1 - Motion: 1564 860
1 - Motion: 1569 863
1 - Motion: 1574 865
1 - Motion: 1579 868
1 - Motion: 1584 871
1 - Motion: 1589 874
1 - Motion: 1594 877
1 - Motion: 1599 880
1 - Motion: 1604 882
1 - Motion: 1609 885
1 - Motion: 1614 888
1 - Motion: 1619 890
1 - Motion: 1624 892
1 - Motion: 1629 895
1 - Motion: 1634 897
1 - Motion: 1639 899
1 - Motion: 1644 902
1 - Motion: 1646 904
1 - Motion: 1649 906
1 - Motion: 1651 908
1 - Motion: 1654 908
1 - Motion: 1656 910
1 - Motion: 1658 912
1 - Motion: 1660 914
1 - Motion: 1662 914
1 - Motion: 1664 916
1 - Motion: 1666 916
1 - Motion: 1668 916
1 - Motion: 1668 918
1 - Motion: 1670 918
1 - Motion: 1671 918
1 - Motion: 1672 918
1 - Motion: 1671 918
1 - Motion: 1671 917
1 - Motion: 1670 917
1 - Motion: 1670 916
1 - Motion: 1669 915
1 - Motion: 1668 914
1 - Motion: 1666 914
1 - Motion: 1665 912
1 - Motion: 1663 910
1 - Motion: 1661 909
1 - Motion: 1659 907
1 - Motion: 1657 905
1 - Motion: 1654 903
1 - Motion: 1651 901
1 - Motion: 1649 898
1 - Motion: 1644 896
1 - Motion: 1639 893
1 - Motion: 1634 890
1 - Motion: 1629 888
1 - Motion: 1624 885
1 - Motion: 1619 882
1 - Motion: 1614 879
1 - Motion: 1609 876
1 - Motion: 1604 873
1 - Motion: 1599 870
1 - Motion: 1594 867
1 - Motion: 1589 864
1 - Motion: 1584 861
1 - Motion: 1579 858
1 - Motion: 1574 855
1 - Motion: 1569 852
1 - Motion: 1564 849
1 - Motion: 1559 846
1 - Motion: 1554 843
1 - Motion: 1549 840
1 - Motion: 1544 838
1 - Motion: 1539 835
1 - Motion: 1534 832
1 - Motion: 1529 830
1 - Motion: 1524 827
1 - Motion: 1519 825
1 - Motion: 1514 822
1 - Motion: 1509 820
1 - Motion: 1504 817
1 - Motion: 1499 815
1 - Motion: 1497 813
1 - Motion: 1494 811
1 - Motion: 1492 808
1 - Motion: 1489 806
1 - Motion: 1486 804
1 - Motion: 1484 802
1 - Motion: 1482 800
1 - Motion: 1479 798
1 - Motion: 1477 796
1 - Motion: 1474 794
1 - Motion: 1472 792
1 - Motion: 1470 790
1 - Motion: 1467 788
1 - Motion: 1465 786
1 - Motion: 1463 784
1 - Keypress: 65363
1 - Motion: 1461 782
1 - Motion: 1459 780
1 - Motion: 1456 778
1 - Motion: 1454 776
1 - Motion: 1452 774
1 - Motion: 1450 772
1 - Motion: 1448 770
1 - Motion: 1446 770
1 - Motion: 1444 768
1 - Motion: 1442 766
1 - Motion: 1440 764
1 - Motion: 1438 762
1 - Motion: 1436 760
1 - Motion: 1435 759
1 - Motion: 1433 759
1 - Motion: 1431 757
1 - Motion: 1429 755
1 - Motion: 1427 753
1 - Motion: 1425 753
1 - Keypress: 65364
1 - Motion: 1423 751
1 - Motion: 1421 749
1 - Motion: 1419 747
1 - Motion: 1418 747
1 - Motion: 1418 746
1 - Motion: 1416 746
1 - Motion: 1414 744
1 - Motion: 1413 742
1 - Motion: 1412 742
1 - Motion: 1412 741
1 - Motion: 1411 741
1 - Motion: 1411 740
1 - Motion: 1410 740
1 - Motion: 1410 739
1 - Motion: 1409 739
1 - Motion: 1409 738
1 - Motion: 1408 738
1 - Motion: 1407 737
1 - Motion: 1406 736
1 - Motion: 1405 736
1 - Motion: 1405 735
1 - Motion: 1405 734
1 - Motion: 1405 735
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Keypress: 122
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keyrelease: 122
1 - Keypress: 65363
1 - Keypress: 65364
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65364
1 - Keyrelease: 65363
